dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1912-07-01,21.071,0.391,Worcester,United States,42.59N,72.00W
1890-05-01,18.494,0.97,Tunja,Colombia,5.63N,72.65W
1906-01-01,23.06,0.51,Santiago,Philippines,16.87N,122.23E
1958-12-01,11.140999999999998,0.557,Nador,Morocco,34.56N,3.89W
1959-08-01,20.515,0.2269999999999999,Deyang,China,31.35N,103.66E
1888-11-01,19.565,0.476,Ahmadpur East,Pakistan,29.74N,72.00E
1948-12-01,12.275,0.452,Guilin,China,24.92N,109.95E
1841-04-01,6.385000000000002,1.94,Highlands Ranch,United States,39.38N,104.05W
1900-04-01,10.559,0.356,Philadelphia,United States,39.38N,74.91W
1820-10-01,22.678,1.255,Ranchi,India,23.31N,84.76E
2009-02-01,17.491,0.2319999999999999,Miami,United States,26.52N,80.60W
1864-05-01,13.289,1.026,Tyumen,Russia,57.05N,66.39E
1861-01-01,25.223000000000003,2.049,My Tho,Vietnam,10.45N,105.55E
1895-03-01,-2.1180000000000003,0.601,Gomel,Belarus,52.24N,31.53E
1957-06-01,22.373,0.562,Ngaoundéré,Cameroon,7.23N,13.78E
1894-01-01,4.07,0.57,Hofu,Japan,34.56N,132.32E
1857-11-01,6.0920000000000005,2.609,Hirosaki,Japan,40.99N,140.59E
1867-07-01,,,Bandundu,Congo (Democratic Republic Of The),4.02S,16.88E
1910-02-01,22.325,0.354,Kharagpur,India,21.70N,87.40E
1815-07-01,29.08,2.252,Birganj,Nepal,26.52N,84.18E
1789-03-01,-1.4210000000000005,3.323,Shakhty,Russia,47.42N,39.08E
1770-12-01,8.448,3.074,Hampton,United States,36.17N,75.58W
1979-11-01,19.948,0.185,Canoas,Brazil,29.74S,51.69W
1882-07-01,13.269,0.841,Corrientes,Argentina,28.13S,59.09W
1966-12-01,18.052,0.578,Bankura,India,23.31N,86.50E
1884-01-01,24.719,1.432,Lipa,Philippines,13.66N,121.38E
1970-10-01,26.452,0.261,Hafizabad,Pakistan,31.35N,73.51E
1920-08-01,26.146,0.223,Kakogawa,Japan,34.56N,134.27E
1837-09-01,8.173,1.508,Kostroma,Russia,57.05N,39.84E
1907-04-01,24.778,0.465,Port Moresby,Papua New Guinea,8.84S,146.76E
1967-10-01,26.869,0.168,Tacloban,Philippines,12.05N,124.93E
1789-09-01,14.539,2.0980000000000003,Minneapolis,United States,45.81N,93.46W
1759-04-01,8.58,5.087,Móstoles,Spain,40.99N,4.26W
2002-06-01,26.007,0.174,Mandya,India,12.05N,77.26E
1946-06-01,27.901,0.614,Iloilo,Philippines,10.45N,121.91E
1745-12-01,,,Gera,Germany,50.63N,11.41E
1776-05-01,11.453,3.355,Hamilton,Canada,42.59N,80.73W
1877-02-01,3.945,1.813,Ube,Japan,34.56N,130.38E
1857-10-01,16.099,1.162,Lisbon,Portugal,39.38N,8.32W
1954-07-01,27.467,0.385,Columbia,United States,34.56N,81.73W
1953-10-01,15.123,0.183,Santander,Spain,44.20N,4.47W
1804-05-01,18.471,1.546,Amadora,Portugal,39.38N,8.32W
1867-01-01,2.71,1.486,Changzhou,China,31.35N,120.63E
1859-04-01,14.267,1.378,Siverek,Turkey,37.78N,38.64E
1791-07-01,17.509999999999998,2.424,Uppsala,Sweden,60.27N,16.22E
1992-04-01,19.231,0.2289999999999999,Nelspruit,South Africa,24.92S,30.15E
1962-12-01,1.7819999999999998,0.392,Modena,Italy,44.20N,11.18E
1949-07-01,26.722,0.614,Olongapo,Philippines,15.27N,120.83E
2003-06-01,26.001,0.256,Yichun,China,28.13N,113.64E
1986-08-01,24.554,0.148,Zhucheng,China,36.17N,119.34E
1867-05-01,16.926000000000002,1.474,Hirakata,Japan,34.56N,136.22E
1873-02-01,0.11,1.256,Debrecen,Hungary,47.42N,22.50E
1871-11-01,21.306,1.569,Aswan,Egypt,23.31N,32.33E
1870-10-01,12.587,3.142,Tangshan,China,37.78N,113.90E
1893-12-01,25.538,1.21,Parana,Argentina,31.35S,60.31W
1865-12-01,13.412,2.93,Apodaca,Mexico,26.52N,100.30W
1891-06-01,15.735,0.417,Ulm,Germany,49.03N,9.80E
1935-08-01,14.825,0.171,Edinburgh,United Kingdom,55.45N,2.83W
1905-03-01,25.676,0.696,Manaus,Brazil,2.41S,60.27W
1754-06-01,21.456,2.678,Philadelphia,United States,39.38N,74.91W
1897-04-01,19.032,0.748,East London,South Africa,32.95S,27.77E
1869-07-01,25.552,1.229,Marivan,Iran,36.17N,45.75E
1877-08-01,26.538,1.3730000000000002,Antipolo,Philippines,15.27N,120.83E
1904-08-01,10.894,0.742,Boksburg,South Africa,26.52S,28.66E
1881-09-01,8.280999999999999,0.568,Cherepovets,Russia,58.66N,36.92E
1918-10-01,17.275,0.1889999999999999,Chaohu,China,31.35N,118.74E
1868-04-01,8.561,1.06,Colchester,United Kingdom,52.24N,0.00W
1759-06-01,16.581,3.022,Barrie,Canada,44.20N,80.50W
1871-07-01,24.686,0.938,Tegal,Indonesia,7.23S,109.46E
1965-03-01,28.311,0.233,Ikot Ekpene,Nigeria,5.63N,8.07E
1848-07-01,,,Pôrto Seguro,Brazil,16.87S,38.51W
1931-08-01,18.655,0.273,Kirovohrad,Ukraine,49.03N,31.84E
1915-08-01,29.247,0.496,Ballia,India,26.52N,84.18E
1910-03-01,19.731,0.858,San Nicolás De Los Garza,Mexico,26.52N,100.30W
1964-02-01,21.31900000000001,0.691,Worcester,South Africa,32.95S,20.11E
1978-12-01,21.954,0.2789999999999999,Milagro,Ecuador,2.41S,79.55W
1908-12-01,11.332,0.74,Gujranwala,Pakistan,32.95N,73.72E
2003-11-01,25.827,0.203,Cianjur,Indonesia,7.23S,107.84E
